序号,RealDisNo,REGIONID,GeoName,GroupName,DisasterTy,Longitude,Latitude,OccTime,ALARMGRADE,Rainfall,Rainfall01,Rainfall03,Rainfall06,Rainfall24,NOTES,REGIONNAME,单位名称,岩性特征,岩性名称,地形名称,地形坡度,地貌名称
1.0,2012062600000063,441426117000,平远县东石镇洋背村洋背岗,东石镇洋背村洋背岗,地面塌陷,,,2012-01-22 00:00:00,3,7,0,0.5,3.5,3.5,无坐标，暂给镇级坐标,东石～河头东北沉积岩、变质岩及安山岩多岩性丘陵、中低山滑坡、崩塌中易发亚区,,,未知,平地,＜10°,中起伏山地
2.0,2012062600000007,440111014000,广州市白云区广州大学附属实验学校,广州大学附属实验学校,地面沉降,,,2012-02-07 00:00:00,3,9.4,0.5,3,3.5,3.5,无坐标，暂给镇级坐标,江高镇—石门街道—新市街道—金沙街道地面塌陷、滑坡、崩塌高易发亚区,睦岗组,砂质粘土、粘土、淤泥夹腐木,极软岩,平地,＜10°,低海拔平原
3.0,2012062600000033,441882005000,连州市九陂镇白石村委会石街头村,九陂镇白石村委会石街头村,地面塌陷,,,2012-02-25 00:00:00,3,0,0,0,0,0,无坐标，暂给镇级坐标,九陂～保安灰岩、砂岩平原、丘陵崩塌中易发亚区,八村群（包括牛角河组、高滩组及水石组）,中细粒长石石英砂岩、长石石英粉砂岩、砂质板岩、绢云母板岩为一套浅变质岩，底部以碳质页岩或石煤层为标志,较软岩,平地,＜10°,小起伏山地
4.0,2012062600000001,441622100000,河源市龙川县老隆街第一小学B校区教学楼后山,老隆街第一小学B校区教学楼后山,崩塌,,,2012-02-29 00:00:00,3,11.2,2.5,2.5,27.5,27.5,无坐标，暂给镇级坐标,紫市镇、黄布镇、鹤市镇、通衢镇、老隆镇、登云镇、丰稔镇、铁场镇、四都镇、佗城镇、红星林场、义都镇中易发区,优胜组,火山质砾岩、流纹岩、流纹－英安质熔岩、沉凝灰岩、玄武岩,较软岩,平地,＜10°,小起伏山地
5.0,2012062600000008,440606006000,佛山市顺德区高黎居委固化宅基地片区,高黎居委固化宅基地片区,地面沉降,,,2012-03-02 00:00:00,3,0.1,0,0,0.5,0.5,无坐标，暂给镇级坐标,容桂街道、勒流街道、大良街道中易发区,万顷沙组,砂、含砾砂及含砾砂质淤泥,较软岩,平地,＜10°,低海拔平原
6.0,2012062600000066,441802105000,清远市高新区经济开发区,高新区经济开发区,泥石流,,,2012-03-05 00:00:00,3,36.3,0,0,5.5,5.5,无坐标，暂给镇级坐标,石角镇、清远市国营银盏林场、龙塘镇、洲心街道、源潭镇中易发区,晚侏罗世二长花岗岩,中粒斑状黑云母二长花岗岩,坚硬岩,平地,＜10°,小起伏山地
7.0,2012062600000004,441223115000,广宁县古水黄洞鱼翁村,古水黄洞鱼翁村,崩塌,,,2012-03-05 00:00:00,3,59.7,0,0,18,18,无坐标，暂给镇级坐标,横山镇、洲仔镇、南街镇、古水镇高易发区,牛角河组　,厚层变余砂岩夹青灰色薄层泥板岩组成韵律层，以含炭质页岩、石煤层与含磷硅质扁豆体与黄铁矿细核为特征,较软岩,平地,＜10°,小起伏山地
8.0,2012062600000067,441827115000,清远市清新县龙颈镇李坑村委迳尾林场,龙颈镇李坑村委迳尾林场,滑坡,,,2012-03-06 00:00:00,3,18.8,0,0,0.5,0.5,无坐标，暂给镇级坐标,太和镇、太平镇、龙颈镇、笔架山林场、浸潭镇、禾云镇高易发区,牛角河组　,厚层变余砂岩夹青灰色薄层泥板岩组成韵律层，以含炭质页岩、石煤层与含磷硅质扁豆体与黄铁矿细核为特征,较软岩,平地,＜10°,小起伏山地
9.0,2012062600000032,445302104000,云安县南盛镇料同村委北村村,南盛镇料同村委北村村,地面塌陷,,,2012-04-01 00:00:00,3,0,0,0,0,0,无坐标，暂给镇级坐标,富林镇、南盛镇、前锋镇、石城镇低易发区,大绀山组,石英云母片岩、云母石英片岩、石英岩夹炭质千枚岩、硅质岩、灰岩、凝灰岩及黄铁矿层，底部为石英岩夹砾岩,较软岩,平地,＜10°,丘陵
10.0,2012062600000010,441223115000,广宁县古水镇古水社区茅坪村,古水镇古水社区茅坪村,崩塌,,,2012-04-08 00:00:00,3,28.4,0,7,7.5,7.5,无坐标，暂给镇级坐标,横山镇、洲仔镇、南街镇、古水镇高易发区,牛角河组　,厚层变余砂岩夹青灰色薄层泥板岩组成韵律层，以含炭质页岩、石煤层与含磷硅质扁豆体与黄铁矿细核为特征,较软岩,平地,＜10°,小起伏山地
11.0,2012062600000011,441223115000,广宁县古水镇下丰村委上丰村,古水镇下丰村委上丰村,崩塌,,,2012-04-08 00:00:00,3,28.4,0,7,7.5,7.5,无坐标，暂给镇级坐标,横山镇、洲仔镇、南街镇、古水镇高易发区,牛角河组　,厚层变余砂岩夹青灰色薄层泥板岩组成韵律层，以含炭质页岩、石煤层与含磷硅质扁豆体与黄铁矿细核为特征,较软岩,平地,＜10°,小起伏山地
12.0,2012062600000012,441223115000,广宁县古水镇下丰村委中丰村,古水镇下丰村委中丰村,崩塌,,,2012-04-08 00:00:00,3,28.4,0,7,7.5,7.5,无坐标，暂给镇级坐标,横山镇、洲仔镇、南街镇、古水镇高易发区,牛角河组　,厚层变余砂岩夹青灰色薄层泥板岩组成韵律层，以含炭质页岩、石煤层与含磷硅质扁豆体与黄铁矿细核为特征,较软岩,平地,＜10°,小起伏山地
